subject,music,measure,value
6,blue,low,3
7,blue,low,5
8,blue,low,3
9,blue,low,5
10,blue,low,3
11,blue,low,3
12,blue,low,1
13,blue,low,4
1,blue,loud,3
2,blue,loud,2
3,blue,loud,2
4,blue,loud,3
5,blue,loud,2
6,blue,loud,2
7,blue,loud,4
8,blue,loud,3
9,blue,loud,3
10,blue,loud,4
11,blue,loud,3
12,blue,loud,4
13,blue,loud,2
1,blue,soft,3
2,blue,soft,4
3,blue,soft,4
4,blue,soft,4
5,blue,soft,4
6,blue,soft,4
7,blue,soft,2
8,blue,soft,3
9,blue,soft,3
10,blue,soft,2
11,blue,soft,3
12,blue,soft,1
13,blue,soft,4
1,blue,consonant,4
2,blue,consonant,2
3,blue,consonant,2
4,blue,consonant,1
5,blue,consonant,4
6,blue,consonant,1
7,blue,consonant,4
8,blue,consonant,3
9,blue,consonant,5
10,blue,consonant,2
11,blue,consonant,2
12,blue,consonant,4
13,blue,consonant,2
1,blue,dissonant,2
2,blue,dissonant,4
3,blue,dissonant,4
4,blue,dissonant,5
5,blue,dissonant,2
6,blue,dissonant,5
7,blue,dissonant,2
8,blue,dissonant,4
9,blue,dissonant,1
10,blue,dissonant,4
11,blue,dissonant,5
12,blue,dissonant,2
13,blue,dissonant,4
1,blue,instruments,"choir, strings, harp, piano"
2,blue,instruments,"Choir, harp"
3,blue,instruments,"chorus, strings"
4,blue,instruments,"bass drum, flute, violin, low brass"
5,blue,instruments,Tubas
6,blue,instruments,violin
7,blue,instruments,NA
8,blue,instruments,"violin, chorus, strings"
9,blue,instruments,NA
10,blue,instruments,violin
11,blue,instruments,"strings, percussion, voice"
12,blue,instruments,"voice, violin"
13,blue,instruments,NA
1,celebration,fast,5
2,celebration,fast,5
3,celebration,fast,4
4,celebration,fast,4
5,celebration,fast,5
6,celebration,fast,4
7,celebration,fast,5
8,celebration,fast,4
9,celebration,fast,5
10,celebration,fast,4
11,celebration,fast,5
12,celebration,fast,5
13,celebration,fast,5
1,celebration,slow,1
2,celebration,slow,1
3,celebration,slow,2
4,celebration,slow,1
5,celebration,slow,2
6,celebration,slow,2
7,celebration,slow,3
8,celebration,slow,1
9,celebration,slow,2
10,celebration,slow,2
11,celebration,slow,1
12,celebration,slow,1
13,celebration,slow,1
1,celebration,high,5
2,celebration,high,5
3,celebration,high,5
4,celebration,high,3
5,celebration,high,5
6,celebration,high,4
7,celebration,high,5
8,celebration,high,4
9,celebration,high,5
10,celebration,high,5
11,celebration,high,5
12,celebration,high,5
13,celebration,high,5
1,celebration,low,1
2,celebration,low,1
3,celebration,low,2
4,celebration,low,3
5,celebration,low,2
6,celebration,low,2
7,celebration,low,3
8,celebration,low,1
9,celebration,low,1
10,celebration,low,1
11,celebration,low,1
12,celebration,low,1
13,celebration,low,1
1,celebration,loud,4
2,celebration,loud,4
3,celebration,loud,4
4,celebration,loud,4
5,celebration,loud,3
6,celebration,loud,4
7,celebration,loud,4
8,celebration,loud,4
9,celebration,loud,5
10,celebration,loud,5
11,celebration,loud,4
12,celebration,loud,5
13,celebration,loud,5
1,celebration,soft,2
2,celebration,soft,1
3,celebration,soft,2
4,celebration,soft,1
5,celebration,soft,3
6,celebration,soft,2
7,celebration,soft,2
8,celebration,soft,2
9,celebration,soft,1
10,celebration,soft,1
11,celebration,soft,2
12,celebration,soft,1
13,celebration,soft,1
1,celebration,consonant,4
2,celebration,consonant,4
3,celebration,consonant,5
4,celebration,consonant,4
5,celebration,consonant,3
6,celebration,consonant,5
7,celebration,consonant,5
8,celebration,consonant,5
9,celebration,consonant,5
10,celebration,consonant,5
11,celebration,consonant,4
12,celebration,consonant,5
13,celebration,consonant,4
1,celebration,dissonant,2
2,celebration,dissonant,2
3,celebration,dissonant,1
4,celebration,dissonant,1
5,celebration,dissonant,3
6,celebration,dissonant,1
7,celebration,dissonant,2
8,celebration,dissonant,1
9,celebration,dissonant,1
10,celebration,dissonant,1
11,celebration,dissonant,1
12,celebration,dissonant,1
13,celebration,dissonant,2
1,celebration,instruments,"strings, whistle"
2,celebration,instruments,Strings
3,celebration,instruments,strings
4,celebration,instruments,"violin, bagpipes"
5,celebration,instruments,"Whistle, Violin"
6,celebration,instruments,violin
7,celebration,instruments,NA
8,celebration,instruments,"bagpipe, violin"
9,celebration,instruments,violin
10,celebration,instruments,"violin, woodwind"
11,celebration,instruments,"strings, bagpipes, percussion"
12,celebration,instruments,violin
13,celebration,instruments,brass
1,circle,fast,2
2,circle,fast,1
3,circle,fast,1
4,circle,fast,2
5,circle,fast,3
6,circle,fast,2
7,circle,fast,1
8,circle,fast,2
9,circle,fast,2
10,circle,fast,2
11,circle,fast,1
12,circle,fast,4
13,circle,fast,1
1,circle,slow,5
2,circle,slow,5
3,circle,slow,4
4,circle,slow,3
5,circle,slow,4
6,circle,slow,3
7,circle,slow,5
8,circle,slow,3
9,circle,slow,5
10,circle,slow,4
11,circle,slow,4
12,circle,slow,2
13,circle,slow,5
1,circle,high,2
2,circle,high,4
3,circle,high,3
4,circle,high,3
5,circle,high,4
6,circle,high,3
7,circle,high,4
8,circle,high,4
